Date,Rate,CAPE
01/08/1995,6.49,23.28407026
01/09/1995,6.2,23.94600708
01/01/1995,6.04,23.92676276
01/11/1995,5.93,24.34758688
01/12/1995,5.71,25.02738066
01/01/1996,5.65,24.76246519
01/02/1996,5.81,25.97606555
01/03/1996,6.27,25.6299304
01/04/1996,6.51,25.42420385
01/05/1996,6.74,25.81404383
01/06/1996,6.91,25.96667356
01/07/1996,6.87,24.85841133
01/08/1996,6.64,25.41252912
01/09/1996,6.83,25.68011551
01/01/1996,6.53,26.48346772
01/11/1996,6.2,27.58561205
01/12/1996,6.3,27.72394616
01/01/1997,6.58,28.33287013
01/02/1997,6.42,29.26563488
01/03/1997,6.69,28.80245859
01/04/1997,6.89,27.58516034
01/05/1997,6.71,29.92836222
01/06/1997,6.49,31.25656062
01/07/1997,6.22,32.76663769
01/08/1997,6.3,32.58628349
01/09/1997,6.21,32.66658134
01/01/1997,6.03,32.90149818
01/11/1997,5.88,32.33660053
01/12/1997,5.81,33.03078904
01/01/1998,5.54,32.85996842
01/02/1998,5.57,34.70967778
01/03/1998,5.65,36.29692774
01/04/1998,5.64,37.27693404
01/05/1998,5.65,36.95659852
01/06/1998,5.5,36.80229346
01/07/1998,5.46,38.25964509
01/08/1998,5.34,35.42340102
01/09/1998,4.81,33.53235698
01/01/1998,4.53,33.77310288
01/11/1998,4.83,37.36939188
01/12/1998,4.65,38.82027478
01/01/1999,4.72,40.57695768
01/02/1999,5,40.40015923
01/03/1999,5.23,41.35610363
01/04/1999,5.18,42.70450952
01/05/1999,5.54,42.55667671
01/06/1999,5.9,42.18067591
01/07/1999,5.79,43.82803599
01/08/1999,5.94,41.93071216
01/09/1999,5.92,41.32345133
01/01/1999,6.11,40.5528544
01/11/1999,6.03,43.20829071
01/12/1999,6.28,44.19793976
01/01/2000,6.66,43.77257815
01/02/2000,6.52,42.18563589
01/03/2000,6.26,43.22074844
01/04/2000,5.99,43.52857429
01/05/2000,6.44,41.9660505
01/06/2000,6.1,42.78197157
01/07/2000,6.05,42.75809362
01/08/2000,5.83,42.86956549
01/09/2000,5.8,41.89800792
01/01/2000,5.74,39.36969904
01/11/2000,5.72,38.78214246
01/12/2000,5.24,37.274238
01/01/2001,5.16,36.978868
01/02/2001,5.1,35.83466265
01/03/2001,4.89,32.32583724
01/04/2001,5.14,32.17390117
01/05/2001,5.39,34.07464322
01/06/2001,5.28,33.06853441
01/07/2001,5.24,32.16303869
01/08/2001,4.97,31.40431876
01/09/2001,4.73,27.66739259
01/01/2001,4.57,28.57737311
01/11/2001,4.65,30.00510381
01/12/2001,5.09,30.49995326
01/01/2002,5.04,30.27720443
01/02/2002,4.91,29.08570415
01/03/2002,5.28,30.29213064
01/04/2002,5.21,29.00588325
01/05/2002,5.16,28.12810751
01/06/2002,4.93,26.38767254
01/07/2002,4.65,23.46312047
01/08/2002,4.26,23.58871353
01/09/2002,3.87,22.3650368
01/01/2002,3.94,21.95623386
01/11/2002,4.05,23.3483965
01/12/2002,4.03,23.10144254
01/01/2003,4.05,22.89834858
